Version,Type,Class file format version[8],Release date,End of public updates (free),End of extended support (paid),Codename,Dolphin[89],Unnamed: 0,Unnamed: 1,Unnamed: 2,LTS version,Released,"21 September 2017
(7 years ago)","20 March 2018
(7 years ago)","23 January 1996
(29 years ago)","19 March 2019
(6 years ago)","17 September 2019
(5 years ago)","17 March 2020
(5 years ago)","15 September 2020
(4 years ago)","16 March 2021
(4 years ago)","19 February 1997
(28 years ago)","22 March 2022
(3 years ago)","20 September 2022
(2 years ago)","21 March 2023
(2 years ago)",Playground,"19 March 2024
(12 months ago)","17 September 2024
(6 months ago)","18 March 2025
(5 days ago)","show
vte
Java (software platform)",Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Kestrel,Merlin,Tiger,Mustang
JDK 1.0,,45[9],23 January 1996,May 1996,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDK 1.1,,45,18 February 1997,October 2002,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2SE 1.2,,46,4 December 1998,November 2003,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2SE 1.3,,47,8 May 2000,March 2006,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2SE 1.4,,48,13 February 2002,October 2008,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2SE 5.0 (1.5),,49,30 September 2004,October 2009,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 6 (1.6),,50,11 December 2006,"April 2013 for Oracle
December 2018 for Azul[10]","December 2016 for Red Hat[11]
October 2018 for Oracle[12]
December 2027 for Azul[10]
March 2028 for BellSoft Liberica[13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 7 (1.7),,51,28 July 2011,"July 2015 for Oracle
July 2022 for Azul[10]
September 2022 for IBM Java SDK[14]","June 2020 for Red Hat[11]
July 2022 for Oracle[15]
December 2027 for Azul[10]
March 2028 for BellSoft Liberica[13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 8 (1.8),LTS,52,18 March 2014,"April 2019 for Oracle
November 2026 for Eclipse Temurin[16]
November 2026 for Red Hat[11]
November 2026 for Azul[10]
December 2030 for Amazon Corretto[17]
April 2025 for IBM Java SDK[14]
November 2026 for IBM Semeru Runtimes[18]","December 2030 for Oracle[4]
December 2030 for Azul[10]
March 2031 for BellSoft Liberica[13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 9 (1.9),,53,21 September 2017,March 2018,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 10 (1.10),,54,20 March 2018,September 2018,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 11,LTS,55,25 September 2018,"April 2019 for Oracle
September 2027 for Microsoft Build of OpenJDK[19]
October 2024 for Red Hat[11]
October 2027 for Eclipse Temurin[16]
October 2027 for Azul[10]
January 2032 for Amazon Corretto[17]
January 2032 for Azul[10]
October 2027 for IBM Semeru Runtimes[18]","January 2032 for Azul[10]
March 2032 for BellSoft Liberica[13]
October 2027 for Red Hat[11]
January 2032 for Oracle[4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 12,,56,19 March 2019,September 2019,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 13,,57,17 September 2019,March 2020,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 14,,58,17 March 2020,September 2020,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 15,,59,16 September 2020,March 2021,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 16,,60,16 March 2021,September 2021,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 17,LTS,61,14 September 2021,"September 2024 for Oracle[4]
September 2027 for Microsoft Build of OpenJDK[19]
October 2027 for Eclipse Temurin[16]
October 2027 for Red Hat[11]
October 2029 for Amazon Corretto[17]
September 2029 for Azul[10]
October 2027 for IBM Semeru Runtimes[18]","September 2029 for Oracle[4]
March 2030 for BellSoft Liberica[13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 18,,62,22 March 2022,September 2022,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 19,,63,20 September 2022,March 2023,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 20,,64,21 March 2023,September 2023,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 21,LTS,65,19 September 2023,"September 2028 for Oracle[4]
September 2028 for Microsoft Build of OpenJDK[19]
December 2029 for Red Hat[11]
December 2029 for Eclipse Temurin[16]
October 2030 for Amazon Corretto[17]
September 2031 for Azul[10]
December 2029 for IBM Semeru Runtimes[18]","September 2031 for Oracle[4]
March 2032 for BellSoft Liberica[13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 22,,66,19 March 2024,September 2024,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 23,,67,17 September 2024,"March 2025 for Oracle
September 2032 for Azul[10]
March 2025 for IBM Semeru Runtimes[18]",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 24,,68,18 March 2025,September 2025,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java SE 25,LTS,69,September 2025,September 2030 for Oracle[4],"September 2033 for Oracle[4]
March 2034 for BellSoft Liberica[13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legend:
Old version, not maintained
Old version, still maintained
Latest version
Future version",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Released,"28 July 2011
(13 years ago)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Support ended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Public,April 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Paid,June 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"18 March 2014
(11 years ago)",,Released,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,8,,# of JEPs,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,# of JEPs,9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Support ended,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Public,March 2018,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,# of JEPs,,12,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Support ended,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Public,,September 2018,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"25 September 2018
(6 years ago)",,Released,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,17,,# of JEPs,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Removal(s),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Java applets, Java Web Start, JavaFX, JavaEE, and CORBA modules",,Notable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
